Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
23	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_173|gi|1903218|gnl|PID|e255345, CONT_178|gi|2190400|gnl|PID|e321549, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6IMF0|KRT87_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9R0H5|K2C71_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	21.3	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	184	2	0.011	48	50	37	49	0	0	0	2	0.494	0.109	0.847	2.987
25	1	CONT_176|gi|2119206|pir||S34165	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, CONT_178|gi|2190400|gnl|PID|e321549, sp|P97861|KRT86_MOUSE, sp|Q6IMF0|KRT87_MOUSE, tr|Q9CPR6|Q9CPR6_MOUSE	contaminant	16.8	346	36626	keratin type II, KRT2.11, hair (fragments) [Ovis aries].	10	1	0.100	1	7	1	1	0	1	0	0	0.091	2.874	0.100	0.091
26	1	CONT_178|gi|2190400|gnl|PID|e321549	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, CONT_178|gi|2190400|gnl|PID|e321549, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IMF0|KRT87_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|Q9CPR6|Q9CPR6_MOUSE	contaminant	19.0	505	54971	(Y13621) keratin [Homo sapiens].	59	1	0.017	16	20	11	12	0	0	0	1	0.699	2.382	0.505	1.298
27	1	REV_A0A087WS16	 	 	 	reversed	2.5	2677	288690	REVERSED.	8	8	1.000	1	3	2	2	1	3	2	2	1.000	3.000	2.000	2.000
28	1	REV_A0A088MLT8 (+1)	REV_A0A088MLT8&REV_P0DPB4	 	 	reversed	2.7	559	61916	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
29	1	REV_A0A571BD48	 	 	 	reversed	0.9	4024	461910	REVERSED.	7	7	1.000	1	3	2	1	1	3	2	1	1.000	3.000	2.000	1.000
30	1	REV_A0A571BEV2	 	 	REV_A0A571BEV2, sp|Q9JHR7|IDE_MOUSE	reversed	0.6	6590	747314	REVERSED.	7	3	0.429	3	1	1	2	2	0	0	1	2.027	0.000	0.000	1.019
31	1	REV_A0A571BF58	 	 	 	reversed	1.0	7523	871223	REVERSED.	15	15	1.000	4	4	2	5	4	4	2	5	4.000	4.000	2.000	5.000
32	1	REV_A0A5F8MPU3	 	 	 	reversed	0.8	2282	257617	REVERSED.	6	6	1.000	2	1	2	1	2	1	2	1	2.000	1.000	2.000	1.000
33	1	REV_A0A9L6KDQ4	 	 	REV_A0A9L6KDQ4, REV_A0A9L6KDR4	reversed	0.5	6688	701088	REVERSED.	5	1	0.200	1	1	1	2	0	0	0	1	0.500	0.000	0.500	1.500
34	1	REV_A0A9L6KDR4 (+2)	REV_A0A9L6KDR4&REV_A0A9L6KDR9&REV_A0A9L6KEB1	 	REV_A0A9L6KDQ4, REV_A0A9L6KDR4	reversed	0.6	5411	568669	REVERSED.	7	3	0.429	1	3	1	2	0	2	0	1	0.500	3.000	0.500	1.500
35	1	REV_A2A7F4	 	 	REV_A2A7F4, sp|P28843|DPP4_MOUSE	reversed	1.4	1918	217387	REVERSED.	7	4	0.571	1	1	2	3	0	1	1	2	0.000	1.000	1.014	2.036
36	1	REV_A2A8L1	 	 	REV_A2A8L1, REV_B1AR17	reversed	1.6	1946	222512	REVERSED.	4	3	0.750	1	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
37	1	REV_A2AAY5	 	 	 	reversed	7.6	908	101516	REVERSED.	5	5	1.000	1	0	3	1	1	0	3	1	1.000	0.000	3.000	1.000
38	1	REV_A2AL36	 	 	 	reversed	1.6	2334	268876	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
39	1	REV_A2AQ25	 	 	 	reversed	2.5	1946	213034	REVERSED.	3	3	1.000	2	0	0	1	2	0	0	1	2.000	0.000	0.000	1.000
40	1	REV_A2AQP0	 	 	REV_A2AQP0, REV_B1AR69, REV_G3UW82, REV_Q02566	reversed	1.9	1941	221494	REVERSED.	4	3	0.750	0	1	1	2	0	1	1	1	0.000	1.000	1.000	1.250
42	1	REV_A2ARZ3	 	 	 	reversed	0.5	6995	784848	REVERSED.	11	11	1.000	2	4	3	2	2	4	3	2	2.000	4.000	3.000	2.000
43	1	REV_A2ASS6	 	 	REV_A2ASS6, sp|Q5SXY1|CYTSB_MOUSE, sp|Q9D6J3|YJU2_MOUSE	reversed	0.5	35213	3906440	REVERSED.	20	18	0.900	2	8	8	2	2	7	7	2	2.000	7.778	8.000	2.000
44	1	REV_A2AWL7	 	 	REV_A2AWL7, sp|Q8CI04|COG3_MOUSE	reversed	0.6	3003	328798	REVERSED.	3	2	0.667	0	0	1	2	0	0	1	1	0.000	0.000	1.000	1.111
45	1	REV_B1AR17	 	 	REV_A2A8L1, REV_B1AR17	reversed	1.3	2055	232743	REVERSED.	2	1	0.500	2	0	0	0	1	0	0	0	2.000	0.000	0.000	0.000
46	1	REV_B1AR51	 	 	 	reversed	1.0	4484	512356	REVERSED.	11	11	1.000	4	6	0	1	4	6	0	1	4.000	6.000	0.000	1.000
47	1	REV_B1AR69	 	 	REV_A2AQP0, REV_B1AR69, REV_G3UW82, REV_Q02566	reversed	2.4	1938	223559	REVERSED.	5	4	0.800	1	0	2	2	1	0	2	1	1.000	0.000	2.000	1.250
48	1	REV_B1ART1	 	 	 	reversed	0.5	4359	487323	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
49	1	REV_B1AW18	 	 	 	reversed	3.9	415	48285	REVERSED.	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
50	1	REV_B1AY13	 	 	 	reversed	1.5	2617	293998	REVERSED.	5	5	1.000	1	0	1	3	1	0	1	3	1.000	0.000	1.000	3.000
51	1	REV_B2RT14	 	 	 	reversed	5.1	529	60073	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
52	1	REV_B2RVZ0	 	 	 	reversed	8.5	247	27305	REVERSED.	4	4	1.000	0	2	1	1	0	2	1	1	0.000	2.000	1.000	1.000
53	1	REV_E9PVD1	 	 	 	reversed	4.6	701	79316	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
54	1	REV_E9PW83	 	 	 	reversed	3.5	1143	132972	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
55	1	REV_E9PWH2	 	 	 	reversed	2.1	1175	131468	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
56	1	REV_E9PWR4	 	 	 	reversed	3.3	1557	171067	REVERSED.	4	4	1.000	1	0	2	1	1	0	2	1	1.000	0.000	2.000	1.000
57	1	REV_E9PYP2	 	 	 	reversed	1.6	2688	306175	REVERSED.	21	21	1.000	5	10	4	2	5	10	4	2	5.000	10.000	4.000	2.000
58	1	REV_E9Q264	 	 	 	reversed	1.3	1925	221843	REVERSED.	6	6	1.000	2	1	2	1	2	1	2	1	2.000	1.000	2.000	1.000
59	1	REV_E9Q2M9	 	 	 	reversed	0.7	3183	354327	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
60	1	REV_E9Q3S4	 	 	 	reversed	2.2	1311	146410	REVERSED.	8	8	1.000	2	2	2	2	2	2	2	2	2.000	2.000	2.000	2.000
61	1	REV_E9Q401	 	 	 	reversed	1.1	4966	564813	REVERSED.	6	6	1.000	1	1	3	1	1	1	3	1	1.000	1.000	3.000	1.000
62	1	REV_E9Q414	 	 	 	reversed	0.7	4505	509426	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
63	1	REV_E9Q4N7	 	 	 	reversed	1.0	2306	242879	REVERSED.	11	11	1.000	3	4	2	2	3	4	2	2	3.000	4.000	2.000	2.000
64	1	REV_E9Q4Z2	 	 	REV_E9Q4Z2, sp|Q3URD3|SLMAP_MOUSE, sp|Q80X41|VRK1_MOUSE, sp|Q9Z131|3BP5_MOUSE	reversed	1.3	2448	275747	REVERSED.	10	2	0.200	3	3	1	3	0	1	0	1	0.000	1.100	0.000	1.375
65	1	REV_E9Q555	 	 	REV_E9Q555, sp|P16331|PH4H_MOUSE, sp|Q8BH79|ANO10_MOUSE	reversed	1.3	5148	584252	REVERSED.	30	15	0.500	6	12	5	7	5	6	1	3	5.040	7.111	1.055	3.500
67	1	REV_E9Q7G0	 	 	 	reversed	2.3	2094	235628	REVERSED.	5	5	1.000	3	2	0	0	3	2	0	0	3.000	2.000	0.000	0.000
68	1	REV_E9Q981 (+1)	REV_E9Q981&REV_Q6NVD6	 	 	reversed	4.2	636	76035	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
69	1	REV_E9Q9U8	 	 	 	reversed	5.8	364	39682	REVERSED.	4	4	1.000	0	0	1	3	0	0	1	3	0.000	0.000	1.000	3.000
70	1	REV_F2Z461	 	 	 	reversed	2.5	1003	112926	REVERSED.	10	10	1.000	4	1	3	2	4	1	3	2	4.000	1.000	3.000	2.000
71	1	REV_F6RXI4	 	 	 	reversed	0.6	2391	265715	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
72	1	REV_F6XLV1	 	 	REV_F6XLV1, sp|P35486|ODPA_MOUSE, sp|Q505D7|OPA3_MOUSE	reversed	1.5	1638	186629	REVERSED.	12	3	0.250	3	3	3	3	1	2	0	0	1.028	2.026	0.000	0.000
73	1	REV_G3UW82 (+1)	REV_G3UW82&REV_Q5SX40	 	REV_A2AQP0, REV_B1AR69, REV_G3UW82, REV_Q02566	reversed	1.3	1942	223217	REVERSED.	3	1	0.333	0	1	0	2	0	0	0	1	0.000	0.500	0.000	1.250
74	1	REV_G5E8P0	 	 	REV_G5E8P0, sp|Q9JIY7|NAT8_MOUSE	reversed	1.4	1769	197189	REVERSED.	2	1	0.500	0	0	0	2	0	0	0	1	0.000	0.000	0.000	1.143
76	1	REV_O08599	 	 	 	reversed	3.7	594	67568	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
77	1	REV_O35864	 	 	 	reversed	6.9	334	37548	REVERSED.	7	7	1.000	1	4	1	1	1	4	1	1	1.000	4.000	1.000	1.000
78	1	REV_O54754	 	 	 	reversed	2.3	1333	146676	REVERSED.	4	4	1.000	1	3	0	0	1	3	0	0	1.000	3.000	0.000	0.000
79	1	REV_O54790	 	 	REV_O54790, sp|Q8CH18|CCAR1_MOUSE	reversed	9.9	162	17876	REVERSED.	13	6	0.462	3	2	4	4	1	2	1	2	1.067	2.000	1.176	2.182
80	1	REV_O54931	 	 	 	reversed	2.2	1089	120790	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
81	1	REV_O54943	 	 	 	reversed	2.1	1257	135880	REVERSED.	8	8	1.000	2	2	1	3	2	2	1	3	2.000	2.000	1.000	3.000
82	1	REV_O54988	 	 	 	reversed	1.3	1233	141455	REVERSED.	6	6	1.000	2	1	1	2	2	1	1	2	2.000	1.000	1.000	2.000
83	1	REV_O70250	 	 	 	reversed	10.3	253	28827	REVERSED.	6	6	1.000	1	3	1	1	1	3	1	1	1.000	3.000	1.000	1.000
85	1	REV_O88533	 	 	 	reversed	7.3	480	53873	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
86	1	REV_O88572	 	 	 	reversed	1.1	1613	180253	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
87	1	REV_P02469	 	 	 	reversed	0.9	1786	197089	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
88	1	REV_P05532	 	 	 	reversed	1.5	979	109342	REVERSED.	4	3	0.750	0	1	2	1	0	1	1	1	0.000	1.000	2.000	1.000
89	1	REV_P0C6F1	 	 	 	reversed	0.9	4456	511559	REVERSED.	4	4	1.000	1	0	1	2	1	0	1	2	1.000	0.000	1.000	2.000
90	1	REV_P11087	 	 	 	reversed	2.5	1453	138031	REVERSED.	3	3	1.000	1	0	0	2	1	0	0	2	1.000	0.000	0.000	2.000
91	1	REV_P11881	 	 	 	reversed	1.0	2749	313164	REVERSED.	3	3	1.000	0	0	2	1	0	0	2	1	0.000	0.000	2.000	1.000
92	1	REV_P14404	 	 	 	reversed	2.1	1232	138098	REVERSED.	6	6	1.000	0	1	2	3	0	1	2	3	0.000	1.000	2.000	3.000
93	1	REV_P21614	 	 	 	reversed	3.8	476	53600	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
94	1	REV_P28660	 	 	 	reversed	2.5	1128	128783	REVERSED.	7	7	1.000	2	1	4	0	2	1	4	0	2.000	1.000	4.000	0.000
95	1	REV_P29341 (+3)	REV_P29341&REV_Q62029&REV_Q6PHQ9&REV_Q9D4E6	 	 	reversed	2.7	636	70670	REVERSED.	3	2	0.667	2	1	0	0	1	1	0	0	2.000	1.000	0.000	0.000
96	1	REV_P35550	 	 	 	reversed	4.6	327	34306	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
97	1	REV_P41233	 	 	 	reversed	2.3	2261	253909	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000
98	1	REV_P42230	 	 	 	reversed	1.8	793	90830	REVERSED.	3	3	1.000	2	1	0	0	2	1	0	0	2.000	1.000	0.000	0.000
99	1	REV_P42932	 	 	 	reversed	4.6	548	59555	REVERSED.	8	8	1.000	2	3	1	2	2	3	1	2	2.000	3.000	1.000	2.000
100	1	REV_P46460	 	 	 	reversed	3.1	744	82613	REVERSED.	4	4	1.000	0	2	1	1	0	2	1	1	0.000	2.000	1.000	1.000
101	1	REV_P46471	 	 	 	reversed	3.2	433	48647	REVERSED.	4	4	1.000	1	2	1	0	1	2	1	0	1.000	2.000	1.000	0.000
102	1	REV_P48025	 	 	 	reversed	4.1	629	71376	REVERSED.	5	5	1.000	0	1	3	1	0	1	3	1	0.000	1.000	3.000	1.000
103	1	REV_P54276	 	 	 	reversed	1.3	1358	151082	REVERSED.	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
104	1	REV_P54763	 	 	 	reversed	3.3	986	109898	REVERSED.	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
105	1	REV_P84091	 	 	REV_P84091, sp|Q7TNV0|DEK_MOUSE	reversed	3.9	435	49654	REVERSED.	9	1	0.111	2	2	3	2	0	0	1	0	0.000	0.000	1.133	0.000
106	1	REV_P97479	 	 	REV_P97479, sp|Q99LC9|PEX6_MOUSE	reversed	0.6	2215	254936	REVERSED.	6	1	0.167	2	1	2	1	1	0	0	0	1.056	0.000	0.000	0.000
107	1	REV_Q01098	 	 	 	reversed	4.3	1239	135419	REVERSED.	7	7	1.000	2	1	2	2	2	1	2	2	2.000	1.000	2.000	2.000
108	1	REV_Q02566	 	 	REV_A2AQP0, REV_B1AR69, REV_G3UW82, REV_Q02566	reversed	0.7	1938	223563	REVERSED.	2	1	0.500	0	0	0	2	0	0	0	1	0.000	0.000	0.000	1.250
109	1	REV_Q03172	 	 	 	reversed	0.7	2688	288340	REVERSED.	3	3	1.000	2	0	1	0	2	0	1	0	2.000	0.000	1.000	0.000
110	1	REV_Q03517	 	 	REV_Q03517, sp|Q9WVM8|AADAT_MOUSE, tr|E9Q9B7|E9Q9B7_MOUSE	reversed	2.3	617	70643	REVERSED.	9	0	0.000	1	3	3	2	0	0	0	0	0.000	0.000	0.000	0.000
111	1	REV_Q0VG85	 	 	 	reversed	3.5	912	104335	REVERSED.	4	4	1.000	2	0	1	1	2	0	1	1	2.000	0.000	1.000	1.000
112	1	REV_Q0VGY8	 	 	 	reversed	0.9	1856	200803	REVERSED.	5	5	1.000	2	1	2	0	2	1	2	0	2.000	1.000	2.000	0.000
113	1	REV_Q148B6	 	 	REV_Q148B6, sp|Q3TDD9|PPR21_MOUSE	reversed	3.1	480	51417	REVERSED.	6	5	0.833	2	2	2	0	2	2	1	0	2.000	2.000	1.050	0.000
114	1	REV_Q148W0	 	 	 	reversed	1.4	1251	143796	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
115	1	REV_Q14AT2	 	 	 	reversed	2.9	947	109623	REVERSED.	5	5	1.000	0	2	2	1	0	2	2	1	0.000	2.000	2.000	1.000
116	1	REV_Q14CH1	 	 	 	reversed	2.0	862	95012	REVERSED.	7	7	1.000	2	5	0	0	2	5	0	0	2.000	5.000	0.000	0.000
117	1	REV_Q1EG27	 	 	 	reversed	1.5	1305	148097	REVERSED.	4	4	1.000	0	1	1	2	0	1	1	2	0.000	1.000	1.000	2.000
118	1	REV_Q2QI47	 	 	 	reversed	0.8	5193	569654	REVERSED.	4	4	1.000	1	1	0	2	1	1	0	2	1.000	1.000	0.000	2.000
119	1	REV_Q2TPA8	 	 	 	reversed	6.5	490	54208	REVERSED.	6	6	1.000	4	1	1	0	4	1	1	0	4.000	1.000	1.000	0.000
120	1	REV_Q32KG4	 	 	 	reversed	1.9	1339	138466	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
121	1	REV_Q3U1N2	 	 	 	reversed	1.6	1130	122909	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
122	1	REV_Q3UG20	 	 	 	reversed	1.6	1868	204541	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
123	1	REV_Q3UGF1	 	 	 	reversed	1.5	1341	151455	REVERSED.	5	5	1.000	2	2	1	0	2	2	1	0	2.000	2.000	1.000	0.000
124	1	REV_Q3UNA4	 	 	 	reversed	12.0	142	16256	REVERSED.	5	5	1.000	0	1	2	2	0	1	2	2	0.000	1.000	2.000	2.000
125	1	REV_Q3V0Y1	 	 	 	reversed	3.7	813	95415	REVERSED.	3	3	1.000	0	2	1	0	0	2	1	0	0.000	2.000	1.000	0.000
126	1	REV_Q3V3N7	 	 	 	reversed	6.1	593	65094	REVERSED.	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
127	1	REV_Q45VK7	 	 	 	reversed	1.3	4306	492333	REVERSED.	14	14	1.000	3	7	2	2	3	7	2	2	3.000	7.000	2.000	2.000
128	1	REV_Q4PLS0	 	 	 	reversed	2.6	1046	118640	REVERSED.	4	4	1.000	0	0	1	3	0	0	1	3	0.000	0.000	1.000	3.000
130	1	REV_Q4VC33	 	 	 	reversed	3.8	396	45336	REVERSED.	8	8	1.000	2	1	2	3	2	1	2	3	2.000	1.000	2.000	3.000
131	1	REV_Q505F5	 	 	 	reversed	3.3	581	63589	REVERSED.	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
132	1	REV_Q56A04	 	 	REV_Q56A04, sp|E9Q0S6|TENS1_MOUSE	reversed	4.0	373	41082	REVERSED.	7	4	0.571	2	2	2	1	1	1	1	1	1.025	1.028	1.027	1.000
133	1	REV_Q5DTT8	 	 	 	reversed	2.9	618	69136	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
134	1	REV_Q5DTW7	 	 	REV_Q5DTW7, sp|Q9JLV6|PNKP_MOUSE	reversed	2.9	1521	169043	REVERSED.	7	3	0.429	2	3	1	1	1	2	0	0	1.083	2.167	0.000	0.000
