PAW protein_summary_9 results file
written: Sat Nov  8 16:01:30 2025

 	=subtotal(109,B6:B8622)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
9.0	1	CONT_060|gi|542923|pir||S37780	contaminant	4.5	424	48571	keratin 20, cytoskeletal [Homo sapiens].	8	0	0.000	0	0	2	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_138|gi|71531|pir||KRSHL1, sp|Q9D312|K1C20_MOUSE
9.0001	1	CONT_095|gi|547750|sp|P35900|K1CT_HUMAN	redundant	4.5	424	48486	KERATIN, TYPE I CYTOSKELETAL 20 (CYTOKERATIN 20) (K20) (CK 20) [Homo sapiens].	8	0	0.000	0	0	2	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_138|gi|71531|pir||KRSHL1, sp|Q9D312|K1C20_MOUSE
10.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	52.2	623	62129	keratin 9, cytoskeletal [Homo sapiens].	147	115	0.782	10	9	12	8	10	12	18	10	10	12	16	20	7	7	9	5	8	9	14	7	8	10	14	17	7.107	7.081	9.146	5.089	8.098	9.122	14.298	7.112	8.101	10.138	14.179	17.305	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE
11.0	1	CONT_071|gi|181400	contaminant	37.7	483	53689	(M34225) cytokeratin 8 [Homo sapiens].	1093	7	0.006	76	80	101	77	98	95	95	87	90	85	104	105	1	1	1	0	1	1	1	0	0	1	0	0	2.704	2.239	2.253	0.000	2.315	2.218	2.356	0.000	0.000	2.158	0.000	0.000	CONT_049|gi|88052|pir||A32568, CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, CONT_172|gi|1903216|gnl|PID|e255375, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
12.0	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	contaminant	55.7	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	186	104	0.559	16	14	17	15	11	24	15	11	16	11	19	17	8	9	8	8	7	13	10	5	10	6	11	9	11.288	11.252	12.442	12.286	9.167	17.115	12.352	7.844	13.112	8.224	16.713	14.069	CONT_049|gi|88052|pir||A32568, CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
13.0	1	CONT_074|gi|1070608|pir||KRHU9	contaminant	21.0	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	105	0	0.000	9	8	7	9	9	9	14	9	7	10	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
13.0001	1	CONT_099|gi|417200|sp|P08727|K1CS_HUMAN	redundant	21.0	400	44105	KERATIN, TYPE I CYTOSKELETAL 19 (CYTOKERATIN 19) (K19) (CK 19) [Homo sapiens].	105	0	0.000	9	8	7	9	9	9	14	9	7	10	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
14.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	26.3	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	204	1	0.005	12	17	12	10	15	14	19	17	16	13	28	31	0	0	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.203	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
14.0001	1	CONT_077|gi|106851|pir||S06889	redundant	26.7	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	204	1	0.005	12	17	12	10	15	14	19	17	16	13	28	31	0	0	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.203	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
15.0	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	contaminant	18.6	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	91	0	0.000	7	5	8	6	5	13	11	6	6	5	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.667	0.000	0.333	1.000	CONT_049|gi|88052|pir||A32568, CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, CONT_172|gi|1903216|gnl|PID|e255375, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
16.0	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	contaminant	26.5	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	80	2	0.025	6	4	5	6	5	9	9	8	6	6	6	10	0	0	0	0	0	1	0	0	1	0	0	0	0.333	0.000	0.000	0.000	0.000	3.172	0.167	0.111	1.186	0.333	0.667	1.667	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|A1L317|K1C24_MOUSE, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q62168|K1H2_MOUSE, sp|Q9QWL7|K1C17_MOUSE
17.0	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	contaminant	50.0	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	219	20	0.091	13	12	17	12	15	21	19	24	21	22	22	21	2	1	0	0	2	0	2	1	2	1	5	4	10.281	9.529	4.783	4.083	13.051	5.450	17.524	20.192	18.206	19.226	16.948	16.549	CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
18.0	1	CONT_089|gi|71536|pir||KRHU2	contaminant	32.5	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	135	0	0.000	6	8	11	6	12	15	13	13	14	13	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.500	2.750	1.750	0.500	2.917	0.500	0.500	0.500	0.500	0.000	0.500	CONT_071|gi|181400, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_103|gi|2119212|pir||I37982, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q8VED5|K2C79_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE
