Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
19	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_152|gi|2135530|pir||S60034, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	11.6	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	29	0	0.000	11	8	10	0	0	0	0.000	0.000	0.000
30	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_152|gi|2135530|pir||S60034, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	20.5	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	42	3	0.071	13	14	15	0	2	1	1.797	3.832	3.338
31	1	CONT_167|gi|1668744|gnl|PID|e195475	 	 	CONT_066|gi|386644|bbs|134977, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_152|gi|2135530|pir||S60034, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|B1AQ75|KRT36_MOUSE, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q8K0Y2|KT33A_MOUSE, sp|Q9D646|KRT34_MOUSE	contaminant	17.2	425	47570	(X90763) HHa5 hair keratin type I intermediate filament [Homo sapiens].	18	0	0.000	7	3	8	0	0	0	0.000	0.000	0.000
33	1	REV_A0A338P719	 	 	 	reversed	2.0	1431	157155	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
34	1	REV_A0A571BE33	 	 	 	reversed	2.4	1240	140778	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
35	1	REV_A0A571BEV2	 	 	REV_A0A571BEV2, sp|Q9JHR7|IDE_MOUSE	reversed	0.4	6590	747314	REVERSED.	7	4	0.571	2	2	3	1	1	2	1.027	1.028	2.061
36	1	REV_A0A571BF58	 	 	 	reversed	0.3	7523	871223	REVERSED.	12	12	1.000	4	4	4	4	4	4	4.000	4.000	4.000
37	1	REV_A2A4P0	 	 	 	reversed	1.8	1244	142570	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
38	1	REV_A2AGL3	 	 	REV_A2AGL3, REV_E9PZQ0	reversed	0.3	4863	551322	REVERSED.	4	3	0.750	1	1	2	1	1	1	1.000	1.000	1.500
39	1	REV_A2AQ19	 	 	 	reversed	3.8	715	80796	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
40	1	REV_A2ASS6	 	 	REV_A2ASS6, sp|Q5SXY1|CYTSB_MOUSE, sp|Q9D6J3|YJU2_MOUSE	reversed	0.3	35213	3906440	REVERSED.	20	17	0.850	7	6	7	6	5	6	6.750	5.833	6.750
41	1	REV_A2BDX3	 	 	REV_A2BDX3, sp|Q8BTM8|FLNA_MOUSE	reversed	3.0	460	49374	REVERSED.	3	2	0.667	1	2	0	1	1	0	1.000	1.015	0.000
42	1	REV_A6H603	 	 	 	reversed	2.6	1563	173268	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
43	1	REV_C3VPR6	 	 	REV_C3VPR6, sp|Q922D4|PP6R3_MOUSE	reversed	0.8	1915	211708	REVERSED.	2	1	0.500	0	0	2	0	0	1	0.000	0.000	1.056
44	1	REV_E1U8D0	 	 	 	reversed	2.0	1654	183143	REVERSED.	6	6	1.000	3	2	1	3	2	1	3.000	2.000	1.000
45	1	REV_E9PV66	 	 	 	reversed	1.3	2605	288880	REVERSED.	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
46	1	REV_E9PWR4	 	 	REV_E9PWR4, REV_Q8BWT5	reversed	1.2	1557	171067	REVERSED.	4	2	0.500	1	2	1	1	1	0	1.000	2.000	0.000
47	1	REV_E9PYP2	 	 	 	reversed	0.7	2688	306175	REVERSED.	7	7	1.000	4	2	1	4	2	1	4.000	2.000	1.000
48	1	REV_E9PZQ0	 	 	REV_A2AGL3, REV_E9PZQ0	reversed	0.9	5035	565033	REVERSED.	7	6	0.857	2	3	2	2	3	1	2.000	3.000	1.500
49	1	REV_E9Q394	 	 	 	reversed	0.8	2776	303972	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
50	1	REV_E9Q4Z2	 	 	REV_E9Q4Z2, sp|Q3URD3|SLMAP_MOUSE, sp|Q9Z131|3BP5_MOUSE	reversed	0.9	2448	275747	REVERSED.	4	1	0.250	2	1	1	1	0	0	1.056	0.000	0.000
51	1	REV_E9Q555	 	 	REV_E9Q555, sp|P16331|PH4H_MOUSE, sp|Q8BH79|ANO10_MOUSE	reversed	0.6	5148	584252	REVERSED.	12	2	0.167	3	4	5	0	1	1	0.000	1.361	1.069
52	1	REV_E9Q7D5	 	 	 	reversed	1.8	1581	176662	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
53	1	REV_F6ZDS4	 	 	 	reversed	1.1	2431	273987	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
54	1	REV_F7ABZ6	 	 	 	reversed	0.5	4534	522693	REVERSED.	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000
55	1	REV_G3UZ78	 	 	 	reversed	1.1	1657	188554	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
56	1	REV_G3X9H3	 	 	 	reversed	3.2	648	74130	REVERSED.	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
57	1	REV_G3X9T2	 	 	 	reversed	1.9	1161	133881	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
58	1	REV_O08532	 	 	REV_O08532, sp|O35488|S27A2_MOUSE	reversed	1.7	1103	124629	REVERSED.	10	1	0.100	3	3	4	0	0	1	0.000	0.000	1.028
59	1	REV_O09127	 	 	REV_O09127, REV_Q03145	reversed	2.0	1004	110704	REVERSED.	2	1	0.500	2	0	0	1	0	0	1.500	0.000	0.000
60	1	REV_O70293	 	 	 	reversed	4.0	576	65978	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
61	1	REV_P46460	 	 	 	reversed	3.5	744	82613	REVERSED.	5	5	1.000	2	0	3	2	0	3	2.000	0.000	3.000
62	1	REV_P46686	 	 	 	reversed	5.5	562	62724	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
63	1	REV_P49025	 	 	REV_P49025, sp|Q9Z2I0|LETM1_MOUSE	reversed	1.0	2055	235387	REVERSED.	10	1	0.100	4	3	3	1	0	0	1.056	0.000	0.000
64	1	REV_P58252	 	 	 	reversed	5.0	858	95313	REVERSED.	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
65	1	REV_P60330	 	 	 	reversed	0.9	2118	233032	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
66	1	REV_P62334	 	 	 	reversed	6.2	389	44172	REVERSED.	14	14	1.000	3	5	6	3	5	6	3.000	5.000	6.000
67	1	REV_P70424	 	 	 	reversed	1.9	1256	138578	REVERSED.	4	4	1.000	3	1	0	3	1	0	3.000	1.000	0.000
68	1	REV_Q02566	 	 	 	reversed	2.1	1938	223563	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
69	1	REV_Q03145	 	 	REV_O09127, REV_Q03145	reversed	1.8	977	108851	REVERSED.	2	1	0.500	2	0	0	1	0	0	1.500	0.000	0.000
70	1	REV_Q07802	 	 	 	reversed	3.2	591	64463	REVERSED.	5	5	1.000	1	2	2	1	2	2	1.000	2.000	2.000
71	1	REV_Q0VGY8	 	 	 	reversed	1.5	1856	200803	REVERSED.	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
72	1	REV_Q14B46	 	 	 	reversed	3.3	604	66961	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
73	1	REV_Q2PFD7	 	 	 	reversed	2.5	1037	114721	REVERSED.	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
74	1	REV_Q2TPA8	 	 	 	reversed	9.0	490	54208	REVERSED.	4	4	1.000	2	0	2	2	0	2	2.000	0.000	2.000
75	1	REV_Q3TLH4	 	 	 	reversed	1.0	2846	310889	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
76	1	REV_Q3TLI0	 	 	 	reversed	2.9	1258	141492	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
77	1	REV_Q3TY86	 	 	REV_Q3TY86, sp|Q99LI8|HGS_MOUSE	reversed	2.6	605	66791	REVERSED.	4	1	0.250	2	1	1	1	0	0	1.053	0.000	0.000
78	1	REV_Q3U487	 	 	 	reversed	4.3	861	97346	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
79	1	REV_Q3ULW6	 	 	 	reversed	2.2	985	110197	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
80	1	REV_Q4PLS0	 	 	 	reversed	2.5	1046	118640	REVERSED.	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000
82	1	REV_Q56A04	 	 	REV_Q56A04, sp|E9Q0S6|TENS1_MOUSE	reversed	4.0	373	41082	REVERSED.	4	2	0.500	1	2	1	1	1	0	1.000	1.048	0.000
83	1	REV_Q5S006	 	 	 	reversed	0.8	2527	284729	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
84	1	REV_Q62318	 	 	 	reversed	2.6	834	88846	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
85	1	REV_Q69Z23	 	 	 	reversed	0.5	4481	511598	REVERSED.	3	3	1.000	0	0	3	0	0	3	0.000	0.000	3.000
86	1	REV_Q6DFV3	 	 	 	reversed	0.8	1945	215872	REVERSED.	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000
87	1	REV_Q6NS57	 	 	 	reversed	0.9	1503	162890	REVERSED.	9	9	1.000	3	4	2	3	4	2	3.000	4.000	2.000
88	1	REV_Q6P1E8	 	 	 	reversed	1.8	1516	175769	REVERSED.	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
89	1	REV_Q6PDK2	 	 	REV_Q6PDK2, sp|Q9Z2U1|PSA5_MOUSE	reversed	0.3	5588	600239	REVERSED.	14	3	0.214	5	5	4	1	1	1	1.143	1.160	1.130
90	1	REV_Q6PH08	 	 	 	reversed	3.0	957	110637	REVERSED.	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
91	1	REV_Q6URW6	 	 	 	reversed	0.9	2000	228583	REVERSED.	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
92	1	REV_Q6VGS5	 	 	REV_Q6VGS5, sp|Q9WVE8|PACN2_MOUSE	reversed	0.7	2009	226532	REVERSED.	3	1	0.333	0	2	1	0	1	0	0.000	1.037	0.000
93	1	REV_Q6ZQJ5	 	 	 	reversed	1.9	1062	119446	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
94	1	REV_Q6ZWR6	 	 	 	reversed	0.4	8799	1009914	REVERSED.	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
95	1	REV_Q70IV5	 	 	 	reversed	1.5	1561	173207	REVERSED.	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000
96	1	REV_Q7TQS8	 	 	 	reversed	7.9	315	35343	REVERSED.	3	3	1.000	0	0	3	0	0	3	0.000	0.000	3.000
97	1	REV_Q7TSC1	 	 	REV_Q7TSC1, sp|Q9R0Q1|SYTL4_MOUSE	reversed	1.6	2158	229200	REVERSED.	3	2	0.667	1	0	2	1	0	1	1.000	0.000	1.500
98	1	REV_Q7TSQ8	 	 	REV_Q7TSQ8, sp|Q6PDG5|SMRC2_MOUSE	reversed	2.3	878	99229	REVERSED.	2	1	0.500	0	2	0	0	1	0	0.000	1.077	0.000
99	1	REV_Q80TB7	 	 	 	reversed	1.7	1207	133108	REVERSED.	6	6	1.000	1	1	4	1	1	4	1.000	1.000	4.000
100	1	REV_Q80TS3	 	 	 	reversed	1.0	1537	171078	REVERSED.	8	8	1.000	3	3	2	3	3	2	3.000	3.000	2.000
101	1	REV_Q80X56	 	 	 	reversed	3.2	500	57312	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
102	1	REV_Q80YS5	 	 	 	reversed	3.3	523	59852	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
103	1	REV_Q8BIL5	 	 	 	reversed	2.2	728	84438	REVERSED.	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
104	1	REV_Q8BMG7	 	 	REV_Q8BMG7, sp|Q99LM2|CK5P3_MOUSE	reversed	2.5	1366	152533	REVERSED.	6	2	0.333	2	3	1	1	1	0	1.067	1.118	0.000
105	1	REV_Q8BML1	 	 	 	reversed	1.3	1951	218039	REVERSED.	6	6	1.000	1	2	3	1	2	3	1.000	2.000	3.000
106	1	REV_Q8BQ48	 	 	 	reversed	1.2	2412	272776	REVERSED.	10	10	1.000	5	3	2	5	3	2	5.000	3.000	2.000
107	1	REV_Q8BQM8	 	 	REV_Q8BQM8, sp|Q9JI91|ACTN2_MOUSE	reversed	0.8	1977	220104	REVERSED.	2	1	0.500	0	2	0	0	1	0	0.000	1.053	0.000
108	1	REV_Q8BW94	 	 	 	reversed	0.6	4083	467771	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
109	1	REV_Q8BWT5	 	 	REV_E9PWR4, REV_Q8BWT5	reversed	1.3	1523	165253	REVERSED.	3	1	0.333	0	1	2	0	0	1	0.000	0.000	2.000
110	1	REV_Q8C2W8	 	 	 	reversed	3.2	466	53591	REVERSED.	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
111	1	REV_Q8C3S2	 	 	 	reversed	2.9	1079	118731	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
112	1	REV_Q8C5W4	 	 	REV_Q8C5W4, sp|Q9JM05|PIAS4_MOUSE	reversed	1.8	1022	117185	REVERSED.	3	1	0.333	1	0	2	0	0	1	0.000	0.000	2.000
113	1	REV_Q8C6S9	 	 	 	reversed	0.6	3106	353756	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
114	1	REV_Q8CD54	 	 	 	reversed	0.9	2822	325624	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
115	1	REV_Q8CJ27	 	 	 	reversed	0.7	3122	364214	REVERSED.	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
116	1	REV_Q8K045	 	 	REV_Q8K045, sp|Q8BY89|CTL2_MOUSE	reversed	1.8	878	97880	REVERSED.	2	1	0.500	0	2	0	0	1	0	0.000	1.333	0.000
117	1	REV_Q8K0L3	 	 	 	reversed	3.5	575	64268	REVERSED.	4	4	1.000	1	2	1	1	2	1	1.000	2.000	1.000
118	1	REV_Q8K1A5	 	 	 	reversed	9.3	291	32429	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
119	1	REV_Q8K394	 	 	 	reversed	1.2	1128	125771	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
120	1	REV_Q8R316	 	 	REV_Q8R316, sp|Q99J08|S14L2_MOUSE	reversed	5.2	516	57645	REVERSED.	17	4	0.235	7	5	5	2	1	1	2.152	1.071	1.070
121	1	REV_Q8R4N0	 	 	 	reversed	8.3	338	37548	REVERSED.	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
122	1	REV_Q8R4P5	 	 	 	reversed	3.3	757	87263	REVERSED.	7	7	1.000	2	2	3	2	2	3	2.000	2.000	3.000
123	1	REV_Q8VBW5	 	 	 	reversed	3.5	907	100782	REVERSED.	4	4	1.000	1	3	0	1	3	0	1.000	3.000	0.000
124	1	REV_Q8VDR9	 	 	 	reversed	1.3	2080	233265	REVERSED.	4	2	0.500	1	2	1	0	1	1	0.500	2.000	1.000
125	1	REV_Q8VHN7	 	 	 	reversed	0.2	6298	687449	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
126	1	REV_Q91V24	 	 	REV_Q91V24, sp|P19253|RL13A_MOUSE	reversed	1.0	2159	236881	REVERSED.	5	2	0.400	1	2	2	0	1	1	0.000	1.031	1.025
127	1	REV_Q91VB4	 	 	 	reversed	2.0	1002	113181	REVERSED.	4	4	1.000	0	1	3	0	1	3	0.000	1.000	3.000
128	1	REV_Q91VJ2	 	 	 	reversed	8.5	260	27853	REVERSED.	6	6	1.000	3	1	2	3	1	2	3.000	1.000	2.000
129	1	REV_Q91Z69	 	 	 	reversed	1.4	1062	121429	REVERSED.	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
130	1	REV_Q91ZU6	 	 	REV_Q91ZU6, sp|P42227|STAT3_MOUSE	reversed	0.4	7393	834208	REVERSED.	6	3	0.500	1	3	2	0	2	1	0.000	2.069	1.034
131	1	REV_Q91ZX7	 	 	REV_Q91ZX7, sp|Q8BWQ1|UD2A3_MOUSE, tr|Q8K154|Q8K154_MOUSE	reversed	0.4	4545	504737	REVERSED.	7	1	0.143	2	3	2	0	0	1	0.000	0.000	1.017
132	1	REV_Q921C3	 	 	 	reversed	2.4	2304	259225	REVERSED.	3	3	1.000	1	0	2	1	0	2	1.000	0.000	2.000
133	1	REV_Q922J3	 	 	 	reversed	1.2	1391	155812	REVERSED.	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
134	1	REV_Q9CX83	 	 	REV_Q9CX83, sp|E9Q3L2|PI4KA_MOUSE	reversed	3.3	456	50643	REVERSED.	4	1	0.250	1	2	1	0	1	0	0.000	1.053	0.000
135	1	REV_Q9CYT6	 	 	 	reversed	6.3	476	52861	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
136	1	REV_Q9DB00	 	 	 	reversed	1.2	2260	248739	REVERSED.	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000
